Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2019,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],,Female,Percent,72.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],,Female,Percent,79.4
2019,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],,Male,Percent,73.0
2022,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],,Male,Percent,87.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],,Male,Percent,80.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_BA,,Percent,88.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_HA,,Percent,90.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MA,,Percent,76.2
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MC,,Percent,68.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_ME,,Percent,80.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MI,,Percent,76.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MN,,Percent,75.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MS,,Percent,81.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MV,,Percent,76.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of individuals who own a mobile telephone [5.b.1],ZW_MW,,Percent,75.1
